Sun Sep 23 2018 13:28:52: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 23 2018 13:29:07: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 23 2018 13:33:57: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 23 2018 16:09:32: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Oct 01 2018 14:13:44: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Oct 01 2018 14:16:39: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Oct 01 2018 14:18:40: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Wed Oct 03 2018 17:58:19: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Dec 11 2018 07:07:32: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Apr 20 2021 07:45:25: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Jun 28 2021 07:13:55: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Jun 28 2021 07:16:06: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Jun 29 2021 07:19:32: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Jul 13 2021 06:59:32: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Jul 15 2021 16:33:57: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Jul 25 2021 14:01:36: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
